prompt,content_word,style_word,seed,use_quantile,iou_threshold,iou_baseline_mean,iou_baseline_std,support_a_baseline,support_b_baseline,support_intersection_baseline,support_union_baseline,iou_baseline_cs_mean,iou_baseline_cs_std,support_a_baseline_cs,support_b_baseline_cs,support_intersection_baseline_cs,support_union_baseline_cs,iou_score,support_content,support_style,support_intersection,support_union
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,True,0.7,0.30377893715963833,0.24771915862201938,0.3000003814697266,0.30000103541782924,0.12402945927211216,0.47597195761544364,0.1606836248455303,0.10547576667277482,0.30000053133283344,0.3000012125287737,0.07898289816720146,0.5210188456944057,0.04396393895149231,0.3000011444091797,0.3000011444091797,0.025267601013183594,0.5747346878051758
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,False,0.8,0.09874197735584207,0.18583482055122555,0.017606735229492188,0.06518124171665736,0.000857680184500558,0.081930296761649,0.033660351032657285,0.04032548517272116,0.028729779379708425,0.12502963202340261,0.0009813308715820312,0.15277808053152903,0.0,0.014941215515136719,0.25710391998291016,0.0,0.2720451354980469
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,True,0.8,0.27467166997043285,0.2719295350803698,0.20000098092215401,0.2000011716570173,0.07307395935058594,0.3269281932285854,0.11028148300621458,0.10817605817747382,0.20000110353742326,0.2000011716570173,0.03654193878173828,0.3634603364127023,0.018214259296655655,0.20000171661376953,0.20000076293945312,0.007155418395996094,0.39284706115722656
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,False,0.9,0.07818074412976525,0.17666489359753576,0.002940423148018973,0.011059870038713728,9.61576189313616e-05,0.013904135567801339,0.047636532091668675,0.07019423319381314,0.004444531032017299,0.019467285701206753,0.0001037461417061942,0.023808070591517856,0.0,0.0016384124755859375,0.03879261016845703,0.0,0.04043102264404297
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,True,0.9,0.23983412087296269,0.2681904768452847,0.10000038146972656,0.10000038146972656,0.03214620862688337,0.16785455431256976,0.0832749976377402,0.09575123648925382,0.10000038146972656,0.10000038146972656,0.014004230499267578,0.18599653244018555,0.0005009279120713472,0.10000038146972656,0.10000038146972656,0.00010013580322265625,0.19990062713623047
a painting of a person in the Action painting style,person,Action painting,1,False,0.1,0.969295825277056,0.029507216050313007,0.9765155519757952,0.9905663081577846,0.9682068961007254,0.9988749640328544,0.9756845618997302,0.024955134215805738,0.9813969475882394,0.9937709399632045,0.9754291261945452,0.9997387613568988,0.9887678623199463,0.9891605377197266,0.9994840621948242,0.9887065887451172,0.9999380111694336
a painting of a person in the Action painting style,person,Action painting,1,True,0.1,0.8458743044308253,0.048306948296770215,0.9,0.8999998910086495,0.8241942814418248,0.9758056095668248,0.836351352078574,0.037661848302885055,0.8999998910086495,0.8999997547694615,0.8193858691624233,0.9806137766156878,0.8184652328491211,0.8999996185302734,0.8999996185302734,0.8101539611816406,0.9898452758789062
a painting of a person in the Action painting style,person,Action painting,1,False,0.2,0.8750520178249904,0.11182900541591016,0.9012152808053153,0.9606945037841796,0.8690567016601562,0.9928530829293387,0.8907237521239689,0.10289627799076316,0.9170585359845843,0.9682497978210449,0.8881240572248187,0.9971842765808105,0.9281711578369141,0.9270076751708984,0.9972982406616211,0.9263105392456055,0.9979953765869141
a painting of a person in the Action painting style,person,Action painting,1,True,0.2,0.717933109828404,0.10859859963807697,0.8000003269740513,0.8000002724783761,0.6649611336844308,0.9350394657679967,0.6999995240143367,0.09922226448338617,0.8000003269740513,0.8000001907348633,0.6556626728602818,0.9443378448486328,0.6426787376403809,0.8000001907348633,0.8000001907348633,0.625981330871582,0.9740190505981445
a painting of a person in the Action painting style,person,Action painting,1,False,0.3,0.7083881633622305,0.17764544405073773,0.7672316142490931,0.8947454180036273,0.6895328794206892,0.9724441528320312,0.7156936206987926,0.1882225926693986,0.7920772007533482,0.8913445472717285,0.7020932606288365,0.9813284873962402,0.7292739748954773,0.7485675811767578,0.9705953598022461,0.7250099182128906,0.9941530227661133
a painting of a person in the Action painting style,person,Action painting,1,True,0.3,0.5928096737180437,0.15977074249368237,0.7000003814697265,0.7000000817435128,0.5122181756155831,0.8877822875976562,0.5643133308206286,0.140970908338578,0.700000422341483,0.7000000817435128,0.49785607201712473,0.9021444320678711,0.5118880271911621,0.7000007629394531,0.6999998092651367,0.47400569915771484,0.925994873046875
a painting of a person in the Action painting style,person,Action painting,1,False,0.4,0.4594888427427837,0.2543223371918696,0.5542106083461217,0.7562284469604492,0.4179192134312221,0.8925198418753487,0.4673449202839817,0.2581257392917023,0.5919942855834961,0.7290584700448173,0.42930950437273296,0.8917432512555804,0.3965514302253723,0.47278690338134766,0.8659553527832031,0.38013648986816406,0.9586057662963867
a painting of a person in the Action painting style,person,Action painting,1,True,0.4,0.47198968189103263,0.19359614633153668,0.6000011444091797,0.600001335144043,0.3705636705671038,0.8294388089861189,0.432225339114666,0.1548548884052281,0.6000010626656669,0.6000011307852608,0.3523768016270229,0.8476253918239048,0.41527533531188965,0.6000003814697266,0.600001335144043,0.3521089553833008,0.8478927612304688
a painting of a person in the Action painting style,person,Action painting,1,False,0.5,0.2714314657928688,0.2536207246885731,0.38684768676757814,0.5633543014526368,0.21357994079589843,0.7366220474243164,0.25602743016289814,0.2624666117953411,0.40401451928274973,0.5274177278791156,0.2095825331551688,0.7218497140066964,0.09116857498884201,0.14898014068603516,0.7511692047119141,0.07520866394042969,0.8249406814575195
a painting of a person in the Action painting style,person,Action painting,1,True,0.5,0.36879073583653993,0.21843947649797713,0.500000626700265,0.500001471383231,0.2507922853742327,0.7492098127092633,0.31250749209097456,0.15075364701211333,0.5000006811959403,0.5000017029898507,0.2280630384172712,0.7719393457685199,0.3329456150531769,0.5,0.5000028610229492,0.24978256225585938,0.7502202987670898
a painting of a person in the Action painting style,person,Action painting,1,False,0.6,0.14784035501236628,0.1929665272589159,0.24874191284179686,0.3569843292236328,0.08368500300816127,0.5220412390572684,0.11320383329543152,0.16014991880885504,0.261836120060512,0.34174721581595285,0.07727091653006417,0.5263124193464007,0.009792041033506393,0.045517921447753906,0.5544939041137695,0.005818367004394531,0.5941934585571289
a painting of a person in the Action painting style,person,Action painting,1,True,0.6,0.28755660345777867,0.23533943699145266,0.4000012261526925,0.4000016348702567,0.15868124280657087,0.6413216182163783,0.21116621712488787,0.14070324201563658,0.40000111716134207,0.40000145775931223,0.13069588797433035,0.6693066869463239,0.2587338089942932,0.40000057220458984,0.40000152587890625,0.16444110870361328,0.6355609893798828
a painting of a person in the Action painting style,person,Action painting,1,False,0.7,0.07713809019353773,0.14019465459423203,0.14153998238699778,0.18854239327566966,0.024394008091517858,0.30568836757114953,0.036934569627711814,0.06392231343900626,0.14899430956159318,0.16782706124441965,0.015999044690813338,0.3008223261151995,0.0010819495655596256,0.0246429443359375,0.2700767517089844,0.0003185272216796875,0.2944011688232422
a painting of a person in the Action painting style,person,Action painting,1,True,0.7,0.22260206856548653,0.23303078885324663,0.3000007084437779,0.3000011171613421,0.09290041242327009,0.5071014131818499,0.12853483616241387,0.12064029205486054,0.30000087193080355,0.30000148500714985,0.06261273792811803,0.5373896190098354,0.18619848787784576,0.3000011444091797,0.3000020980834961,0.09418296813964844,0.5058202743530273
a painting of a person in the Action painting style,person,Action painting,1,False,0.8,0.04247007394296816,0.1221053823836895,0.04765717642647879,0.06306334904261998,0.004118210928780692,0.10660231454031809,0.018372334405285073,0.0639442434568694,0.05058036531720843,0.049926349094935825,0.0012551035199846541,0.0992516108921596,0.0,0.017765045166015625,0.0657186508178711,0.0,0.08348369598388672
a painting of a person in the Action painting style,person,Action painting,1,True,0.8,0.16925816435915683,0.21560991308443742,0.20000100816999164,0.20000133514404297,0.04775134495326451,0.35225099836077006,0.06845875241352976,0.09471079604899862,0.2000011716570173,0.20000158037458146,0.02306720188685826,0.3769355501447405,0.1208309605717659,0.20000171661376953,0.20000171661376953,0.043122291564941406,0.35688114166259766
a painting of a person in the Action painting style,person,Action painting,1,False,0.9,0.015142899266045009,0.05951577733075764,0.00570831298828125,0.01029442378452846,0.0002673830304827009,0.01573535374232701,0.013264367622988564,0.04782535760128965,0.006531102316720145,0.008097239903041295,0.00019250597272600447,0.014435836247035436,0.0,0.007144927978515625,0.005192756652832031,0.0,0.012337684631347656
a painting of a person in the Action painting style,person,Action painting,1,True,0.9,0.11931231772094698,0.197962966696245,0.10000068119594029,0.1000007084437779,0.016830635070800782,0.1831707545689174,0.03171121062976973,0.09608049646796908,0.10000072206769671,0.10000079018729073,0.004851068769182477,0.19515044348580496,0.04111500084400177,0.10000038146972656,0.10000133514404297,0.007898330688476562,0.19210338592529297
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,False,0.1,0.9415415814944676,0.0418972034957669,0.947667476109096,0.9841839926583427,0.9369128908429827,0.994938577924456,0.9514152833393642,0.040328137403648115,0.9599992888314384,0.9908039229256767,0.9511257580348423,0.9996774537222726,0.9823894500732422,0.9863290786743164,0.9960603713989258,0.9823894500732422,1.0
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,True,0.1,0.8567144989967346,0.05132898121543807,0.8999997547694615,0.9000001089913504,0.8298092160906111,0.9701906476702009,0.83956926209586,0.045581442435824154,0.8999998910086495,0.9000000953674316,0.8209195818219867,0.9790804045540946,0.8000036478042603,0.9000005722045898,0.8999996185302734,0.8000020980834961,0.9999980926513672
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,False,0.2,0.7160439108099256,0.1521553206040628,0.7279641287667411,0.8983843122209821,0.680306761605399,0.9460416793823242,0.7477092040436608,0.1480489389674749,0.7816816738673619,0.9245186533246722,0.730741160256522,0.975459166935512,0.8392868041992188,0.914372444152832,0.9249143600463867,0.8392868041992188,1.0
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,True,0.2,0.7381314192499433,0.10263414019813351,0.8000007629394531,0.800000844682966,0.6762616838727679,0.9237399237496512,0.7021160168307168,0.09227933628307221,0.8000010762895856,0.8000011444091797,0.6572901180812291,0.9427121026175362,0.602543294429779,0.8000030517578125,0.8000001907348633,0.601588249206543,0.9984149932861328
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,False,0.3,0.3956406127129282,0.18878610616500469,0.39424471173967635,0.7036698477608817,0.3162527356828962,0.7816618238176618,0.43801991109337124,0.20463971407883302,0.48123931884765625,0.786297116960798,0.3939786638532366,0.8735577719552177,0.5538746118545532,0.7317190170288086,0.8185205459594727,0.5525789260864258,0.9976606369018555
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,True,0.3,0.6285865179130009,0.14380945544266566,0.7000004087175642,0.7000000817435128,0.533532224382673,0.866468266078404,0.5795462344373975,0.13310524858853198,0.7000002861022949,0.6999998773847308,0.5074537822178432,0.8925463812691825,0.4223403334617615,0.6999998092651367,0.6999998092651367,0.4157066345214844,0.9842929840087891
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,False,0.4,0.22989855855038124,0.17542412315469127,0.20178585052490233,0.4943734850202288,0.1226994378226144,0.5734598977225167,0.23735691979527473,0.19506056975532785,0.2747697149004255,0.6026558194841657,0.18162461689540318,0.695800917489188,0.25240540504455566,0.5203771591186523,0.6591587066650391,0.23771953582763672,0.9418163299560547
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,True,0.4,0.5277604311704636,0.17103816979409991,0.6000005994524275,0.600001471383231,0.40426218850272044,0.795739882332938,0.467574485710689,0.15853013107141833,0.6000006539481026,0.6000009264264788,0.3727203777858189,0.8272812025887626,0.27975738048553467,0.6000003814697266,0.6000003814697266,0.26232242584228516,0.937678337097168
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,False,0.5,0.19380679292371497,0.20924848065724072,0.11058954511369978,0.3402067184448242,0.04899286542619977,0.40180339813232424,0.14234491690461124,0.17375647683417694,0.1617133276803153,0.41637372970581055,0.08008895601545062,0.49799810137067524,0.08687525242567062,0.34646129608154297,0.44377708435058594,0.06316471099853516,0.7270736694335938
